"[""G"",""R""]",,Game Trail,"As Game Trail enters the battlefield, you may reveal a Mountain or Forest card from your hand. If you don't, Game Trail enters the battlefield tapped.
{T}: Add {R} or {G}.",,,Land
"[""B""]",{3}{B}{B},Puppeteer Clique,"Flying
When Puppeteer Clique enters the battlefield, put target creature card from an opponent's graveyard onto the battlefield under your control. It gains haste. At the beginning of your next end step, exile it.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",3,2,Creature — Faerie Wizard
"[""U"",""W""]",{2},Talisman of Progress,"{T}: Add {C}.
{T}: Add {W} or {U}. Talisman of Progress deals 1 damage to you.",,,Artifact
"[""R""]",{1}{R},Harvest Pyre,"As an additional cost to cast this spell, exile X cards from your graveyard.
Harvest Pyre deals X damage to target creature.",,,Instant
"[""W""]",{4}{W},Bond of Discipline,Tap all creatures your opponents control. Creatures you control gain lifelink until end of turn.,,,Sorcery
"[""G""]",{2}{G},Tanglewalker,"Each creature you control can't be blocked as long as defending player controls an artifact land.",2,2,Creature — Dryad
"[""G"",""W""]",,Selesnya Sanctuary,"Selesnya Sanctuary enters the battlefield tapped.
When Selesnya Sanctuary enters the battlefield, return a land you control to its owner's hand.
{T}: Add {G}{W}.",,,Land
"[""W""]",{4},Bladed Sentinel,{W}: Bladed Sentinel gains vigilance until end of turn.,2,4,Artifact Creature — Construct
"[""B""]",{4}{B},Shadowcloak Vampire,"Pay 2 life: Shadowcloak Vampire gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)",4,3,Creature — Vampire
"[""B""]",{1}{B},Waste Not,"Whenever an opponent discards a creature card, create a 2/2 black Zombie creature token.
Whenever an opponent discards a land card, add {B}{B}.
Whenever an opponent discards a noncreature, nonland card, draw a card.",,,Enchantment
"[""U""]",{2}{U},Spell Contortion,"Multikicker {1}{U} (You may pay an additional {1}{U} any number of times as you cast this spell.)
Counter target spell unless its controller pays {2}. Draw a card for each time Spell Contortion was kicked.",,,Instant
"[""U""]",{1}{U},Refocus,"Untap target creature.
Draw a card.",,,Instant
"[""R""]",{2}{R},Planebound Accomplice,{R}: You may put a planeswalker card from your hand onto the battlefield. Sacrifice it at the beginning of the next end step.,1,3,Creature — Human Wizard
"[""W""]",{1}{W},Ondu Rising,"Whenever a creature attacks this turn, it gains lifelink until end of turn.
Awaken 4—{4}{W} (If you cast this spell for {4}{W}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)",,,Sorcery
"[""U""]",{1}{U},Welkin Tern,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Welkin Tern can block only creatures with flying.",2,1,Creature — Bird
"[""B""]",{3}{B},Sanguine Indulgence,"This spell costs {3} less to cast if you've gained 3 or more life this turn.
Return up to two target creature cards from your graveyard to your hand.",,,Sorcery
"[""R"",""U""]",{3}{U/R},Shrewd Hatchling,"Shrewd Hatchling enters the battlefield with four -1/-1 counters on it.
{U/R}: Target creature can't block Shrewd Hatchling this turn.
Whenever you cast a blue spell, remove a -1/-1 counter from Shrewd Hatchling.
Whenever you cast a red spell, remove a -1/-1 counter from Shrewd Hatchling.",6,6,Creature — Elemental
"[""B"",""W""]",{1}{W}{B},Etchings of the Chosen,"As Etchings of the Chosen enters the battlefield, choose a creature type.
Creatures you control of the chosen type get +1/+1.
{1}, Sacrifice a creature of the chosen type: Target creature you control gains indestructible until end of turn.",,,Enchantment
"[""U""]",{3}{U}{U},"Higure, the Still Wind","Ninjutsu {2}{U}{U} ({2}{U}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Higure, the Still Wind deals combat damage to a player, you may search your library for a Ninja card, reveal it, and put it into your hand. If you do, shuffle your library.
{2}: Target Ninja creature can't be blocked this turn.",3,4,Legendary Creature — Human Ninja
"[""R"",""W""]",{2}{R}{W},Heartwarming Redemption,"Discard all the cards in your hand, then draw that many cards plus one. You gain life equal to the number of cards in your hand.",,,Instant
"[""U""]",{3}{U}{U},Soul of the Rapids,"Flying
Hexproof (This creature can't be the target of spells or abilities your opponents control.)",3,2,Creature — Elemental
"[""G"",""W""]",{2}{G/W}{G/W}{G/W},Fracturing Gust,Destroy all artifacts and enchantments. You gain 2 life for each permanent destroyed this way.,,,Instant
[],{5},Minion Reflector,"Whenever a nontoken creature enters the battlefield under your control, you may pay {2}. If you do, create a token that's a copy of that creature, except it has haste and ""At the beginning of the end step, sacrifice this permanent.""",,,Artifact
"[""B"",""R"",""U""]",{U}{U}{B}{B}{B}{R}{R},Cruel Ultimatum,"Target opponent sacrifices a creature, discards three cards, then loses 5 life. You return a creature card from your graveyard to your hand, draw three cards, then gain 5 life.",,,Sorcery
"[""U"",""W""]",{W/U}{W/U},Puresight Merrow,"{W/U}, {Q}: Look at the top card of your library. You may exile that card. ({Q} is the untap symbol.)",2,2,Creature — Merfolk Wizard
"[""W""]",{2}{W},Starnheim Courser,"Flying
Artifact and enchantment spells you cast cost {1} less to cast.",2,2,Creature — Pegasus
"[""G"",""U""]",{G}{U},Maraleaf Pixie,"Flying
{T}: Add {G} or {U}.",2,2,Creature — Faerie
"[""R""]",{R},Bull Rush,Target creature gets +2/+0 until end of turn.,,,Instant
"[""R""]",{2}{R},Akroan Line Breaker,"Heroic — Whenever you cast a spell that targets Akroan Line Breaker, Akroan Line Breaker gets +2/+0 and gains intimidate until end of turn. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)",2,1,Creature — Human Warrior
"[""U""]",{2}{U},Deny the Divine,"Counter target creature or enchantment spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",,,Instant
"[""G""]",{4}{G}{G},Pheres-Band Brawler,"When Pheres-Band Brawler enters the battlefield, it fights up to one target creature you don't control. (Each deals damage equal to its power to the other.)",4,4,Creature — Centaur Warrior
"[""W""]",{1},Sunbeam Spellbomb,"{W}, Sacrifice Sunbeam Spellbomb: You gain 5 life.
{1}, Sacrifice Sunbeam Spellbomb: Draw a card.",,,Artifact
"[""W""]",{1}{W},Oreskos Swiftclaw,,3,1,Creature — Cat Warrior
[],{1},Inquisitive Puppet,"When Inquisitive Puppet enters the battlefield, scry 1.
Exile Inquisitive Puppet: Create a 1/1 white Human creature token.",0,2,Artifact Creature — Construct
"[""W""]",{1}{W},Aven Squire,"Flying
Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",1,1,Creature — Bird Soldier
"[""G""]",{4}{G},Doubling Season,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.
If an effect would put one or more counters on a permanent you control, it puts twice that many of those counters on that permanent instead.",,,Enchantment
"[""B"",""R""]",{2}{B}{R},Brawl-Bash Ogre,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Brawl-Bash Ogre attacks, you may sacrifice another creature. If you do, Brawl-Bash Ogre gets +2/+2 until end of turn.",3,3,Creature — Ogre Warrior
"[""U""]",{10}{U}{U},Icebreaker Kraken,"This spell costs {1} less to cast for each snow land you control.
When Icebreaker Kraken enters the battlefield, artifacts and creatures target opponent controls don't untap during that player's next untap step.
Return three snow lands you control to their owner's hand: Return Icebreaker Kraken to its owner's hand.",8,8,Snow Creature — Kraken
"[""R""]",{1}{R},Reckless Cohort,Reckless Cohort attacks each combat if able unless you control another Ally.,2,2,Creature — Human Warrior Ally
"[""U""]",{U},"Giant's Amulet","When Giant's Amulet enters the battlefield, you may pay {3}{U}. If you do, create a 4/4 blue Giant Wizard creature token, then attach Giant's Amulet to it.
Equipped creature gets +0/+1 and has ""This creature has hexproof as long as it's untapped."" (It can't be the target of spells or abilities your opponents control.)
Equip {2}",,,Artifact — Equipment
"[""B""]",{4}{B}{B},Minotaur Abomination,,4,6,Creature — Zombie Minotaur
"[""R""]",{2}{R},Arcbond,"Choose target creature. Whenever that creature is dealt damage this turn, it deals that much damage to each other creature and each player.",,,Instant
"[""G""]",{3}{G},Summit Apes,"As long as you control a Mountain, Summit Apes has menace. (It can't be blocked except by two or more creatures.)",5,2,Creature — Ape
"[""B""]",{3}{B},Zulaport Chainmage,"Cohort — {T}, Tap an untapped Ally you control: Target opponent loses 2 life.",4,2,Creature — Human Shaman Ally
"[""R""]",{3}{R},Cinder Elemental,"{X}{R}, {T}, Sacrifice Cinder Elemental: It deals X damage to any target.",2,2,Creature — Elemental
"[""B"",""R""]",,Urborg Volcano,"Urborg Volcano enters the battlefield tapped.
{T}: Add {B} or {R}.",,,Land
"[""B""]",{4}{B},Throttle,Target creature gets -4/-4 until end of turn.,,,Instant
"[""R""]",{4}{R},Mindclaw Shaman,"When Mindclaw Shaman enters the battlefield, target opponent reveals their hand. You may cast an instant or sorcery spell from among those cards without paying its mana cost.",2,2,Creature — Viashino Shaman
"[""R""]",{5}{R}{R},Ashen Monstrosity,"Haste
Ashen Monstrosity attacks each combat if able.",7,4,Creature — Spirit
"[""G""]",{1}{G},Leafcrown Dryad,"Bestow {3}{G} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Reach
Enchanted creature gets +2/+2 and has reach.",2,2,Enchantment Creature — Nymph Dryad
"[""G""]",{4}{G},Rhox Maulers,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Renown 2 (When this creature deals combat damage to a player, if it isn't renowned, put two +1/+1 counters on it and it becomes renowned.)",4,4,Creature — Rhino Soldier
"[""U""]",{2}{U},Scribe of the Mindful,"{1}, {T}, Sacrifice Scribe of the Mindful: Return target instant or sorcery card from your graveyard to your hand.",2,2,Creature — Human Cleric
"[""U""]",{4}{U},Salvage Scuttler,"Whenever Salvage Scuttler attacks, return an artifact you control to its owner's hand.",4,4,Creature — Crab
"[""G"",""U""]",{2}{G}{U},"Rashmi, Eternities Crafter","Whenever you cast your first spell each turn, reveal the top card of your library. You may cast it without paying its mana cost if it's a spell with lesser converted mana cost. If you don't cast it, put it into your hand.",2,3,Legendary Creature — Elf Druid
"[""R""]",{6}{R}{R},Bedlam Reveler,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Bedlam Reveler enters the battlefield, discard your hand, then draw three cards.",3,4,Creature — Devil Horror
"[""G""]",{4}{G},Zendikar Farguide,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)",3,3,Creature — Elemental
"[""R""]",{2}{R}{R},Impetuous Devils,"Trample, haste
When Impetuous Devils attacks, up to one target creature defending player controls blocks it this combat if able.
At the beginning of the end step, sacrifice Impetuous Devils.",6,1,Creature — Devil
"[""B""]",{3}{B}{B},"Lich's Caress",Destroy target creature. You gain 3 life.,,,Sorcery
[],{7},Summoning Station,"{T}: Create a 2/2 colorless Pincher creature token.
Whenever an artifact is put into a graveyard from the battlefield, you may untap Summoning Station.",,,Artifact
"[""R""]",{3}{R}{R},Embermaw Hellion,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
If another red source you control would deal damage to a permanent or player, it deals that much damage plus 1 to that permanent or player instead.",4,5,Creature — Hellion
"[""G""]",{G}{G},"Rhonas's Last Stand","Create a 5/4 green Snake creature token. Lands you control don't untap during your next untap step.",,,Sorcery
[],{3},Sword of Light and Shadow,"Equipped creature gets +2/+2 and has protection from white and from black.
Whenever equipped creature deals combat damage to a player, you gain 3 life and you may return up to one target creature card from your graveyard to your hand.
Equip {2}",,,Artifact — Equipment
"[""W""]",{W}{W},Eight-and-a-Half-Tails,"{1}{W}: Target permanent you control gains protection from white until end of turn.
{1}: Target spell or permanent becomes white until end of turn.",2,2,Legendary Creature — Fox Cleric
"[""G""]",{3}{G}{G},Dictate of Karametra,"Flash
Whenever a player taps a land for mana, that player adds one mana of any type that land produced.",,,Enchantment
"[""R""]",{1}{R},Akki Rockspeaker,"When Akki Rockspeaker enters the battlefield, add {R}.",1,1,Creature — Goblin Shaman
[],{3},Cogwork Assembler,"{7}: Create a token that's a copy of target artifact. That token gains haste. Exile it at the beginning of the next end step.",2,3,Artifact Creature — Assembly-Worker
"[""G"",""U""]",{1}{G}{U},Void Grafter,"Devoid (This card has no color.)
Flash (You may cast this spell any time you could cast an instant.)
When Void Grafter enters the battlefield, another target creature you control gains hexproof until end of turn.",2,4,Creature — Eldrazi Drone
"[""B""]",{3}{B},Cryptwailing,"{1}, Exile two creature cards from your graveyard: Target player discards a card. Activate this ability only any time you could cast a sorcery.",,,Enchantment
"[""G"",""W""]",{G}{W},Valeron Outlander,Protection from black,2,2,Creature — Human Scout
"[""R"",""U""]",{1}{U}{R},Ionize,"Counter target spell. Ionize deals 2 damage to that spell's controller.",,,Instant
"[""B""]",{1}{B}{B},Master of the Feast,"Flying
At the beginning of your upkeep, each opponent draws a card.",5,5,Enchantment Creature — Demon
"[""B""]",{1}{B},Dreadhorde Invasion,"At the beginning of your upkeep, you lose 1 life and amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)
Whenever a Zombie token you control with power 6 or greater attacks, it gains lifelink until end of turn.",,,Enchantment
"[""R""]",{2}{R},Embraal Gear-Smasher,"{T}, Sacrifice an artifact: Embraal Gear-Smasher deals 2 damage to each opponent.",2,3,Creature — Human Warrior
"[""R""]",{2}{R},Goblin Gathering,Create a number of 1/1 red Goblin creature tokens equal to two plus the number of cards named Goblin Gathering in your graveyard.,,,Sorcery
"[""U"",""W""]",{2}{W}{U},"Sphinx's Insight","Draw two cards.
Addendum — If you cast this spell during your main phase, you gain 2 life.",,,Instant
"[""U""]",{5}{U}{U},Eye of the Storm,"Whenever a player casts an instant or sorcery card, exile it. Then that player copies each instant or sorcery card exiled with Eye of the Storm. For each copy, the player may cast the copy without paying its mana cost.",,,Enchantment
"[""G"",""U"",""W""]",{2}{G/U}{W},Messenger Falcons,"Flying
When Messenger Falcons enters the battlefield, draw a card.",2,2,Creature — Bird
"[""W""]",{1}{W},Compulsory Rest,"Enchant creature
Enchanted creature can't attack or block.
Enchanted creature has ""{2}, Sacrifice this creature: You gain 2 life.""",,,Enchantment — Aura
"[""B""]",{2}{B},Nim Lasher,Nim Lasher gets +1/+0 for each artifact you control.,1,1,Creature — Zombie
"[""B""]",{2}{B}{B},"Vraska's Scorn","Target opponent loses 4 life. You may search your library and/or graveyard for a card named Vraska, Scheming Gorgon, reveal it, and put it into your hand. If you search your library this way, shuffle it.",,,Sorcery
"[""G""]",{5}{G},Gravetiller Wurm,"Trample
Morbid — Gravetiller Wurm enters the battlefield with four +1/+1 counters on it if a creature died this turn.",4,4,Creature — Wurm
"[""W""]",{1}{W},"Justiciar's Portal","Exile target creature you control, then return that card to the battlefield under its owner's control. It gains first strike until end of turn.",,,Instant
"[""G""]",{2}{G},Spidery Grasp,Untap target creature. It gets +2/+4 and gains reach until end of turn. (It can block creatures with flying.),,,Instant
"[""U""]",{2}{U},Drag Under,"Return target creature to its owner's hand.
Draw a card.",,,Sorcery
"[""G"",""W""]",,Saltcrusted Steppe,"{T}: Add {C}.
{1}, {T}: Put a storage counter on Saltcrusted Steppe.
{1}, Remove X storage counters from Saltcrusted Steppe: Add X mana in any combination of {G} and/or {W}.",,,Land
"[""R""]",{1}{R}{R},Seasoned Pyromancer,"When Seasoned Pyromancer enters the battlefield, discard two cards, then draw two cards. For each nonland card discarded this way, create a 1/1 red Elemental creature token.
{3}{R}{R}, Exile Seasoned Pyromancer from your graveyard: Create two 1/1 red Elemental creature tokens.",2,2,Creature — Human Shaman
"[""U"",""W""]",{1}{W}{W}{U},Supreme Verdict,"This spell can't be countered.
Destroy all creatures.",,,Sorcery
"[""U""]",{1}{U}{U},"Kopala, Warden of Waves","Spells your opponents cast that target a Merfolk you control cost {2} more to cast.
Abilities your opponents activate that target a Merfolk you control cost {2} more to activate.",2,2,Legendary Creature — Merfolk Wizard
"[""U""]",{U}{U},Flood of Recollection,Return target instant or sorcery card from your graveyard to your hand. Exile Flood of Recollection.,,,Sorcery
"[""G""]",{4}{G},Excavating Anurid,"When Excavating Anurid enters the battlefield, you may sacrifice a land. If you do, draw a card.
Threshold — As long as seven or more cards are in your graveyard, Excavating Anurid gets +1/+1 and has vigilance.",4,4,Creature — Frog Beast
"[""R"",""U""]",{2}{U/R},Unnerving Assault,"Creatures your opponents control get -1/-0 until end of turn if {U} was spent to cast this spell, and creatures you control get +1/+0 until end of turn if {R} was spent to cast this spell. (Do both if {U}{R} was spent.)",,,Instant
"[""B""]",{1}{B},Raving Oni-Slave,"When Raving Oni-Slave enters the battlefield or leaves the battlefield, you lose 3 life if you don't control a Demon.",3,3,Creature — Ogre Warrior
"[""B"",""W""]",{3}{W}{W}{B}{B},Angel of Despair,"Flying
When Angel of Despair enters the battlefield, destroy target permanent.",5,5,Creature — Angel
"[""W""]",{2}{W},Armed Response,Armed Response deals damage to target attacking creature equal to the number of Equipment you control.,,,Instant
"[""R"",""W""]",{2}{R}{W},"Winota, Joiner of Forces","Whenever a non-Human creature you control attacks, look at the top six cards of your library. You may put a Human creature card from among them onto the battlefield tapped and attacking. It gains indestructible until end of turn. Put the rest of the cards on the bottom of your library in a random order.",4,4,Legendary Creature — Human Warrior
"[""G""]",{5}{G}{G},Spearbreaker Behemoth,"Indestructible
{1}: Target creature with power 5 or greater gains indestructible until end of turn.",5,5,Creature — Beast
"[""U""]",{1}{U},Ensoul Artifact,"Enchant artifact
Enchanted artifact is a creature with base power and toughness 5/5 in addition to its other types.",,,Enchantment — Aura
"[""R""]",{R},Skred,Skred deals damage to target creature equal to the number of snow permanents you control.,,,Instant
"[""G""]",{4}{G},Flycatcher Giraffid,Flycatcher Giraffid enters the battlefield with your choice of a vigilance counter or a reach counter on it.,3,5,Creature — Antelope Lizard
"[""G""]",,Blighted Woodland,"{T}: Add {C}.
{3}{G}, {T}, Sacrifice Blighted Woodland: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle your library.",,,Land
"[""U"",""W""]",{2}{W/U}{W/U},Mirrorweave,Each other creature becomes a copy of target nonlegendary creature until end of turn.,,,Instant
"[""U""]",{2}{U}{U},Cytoplast Manipulator,"Graft 2 (This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)
{U}, {T}: Gain control of target creature with a +1/+1 counter on it for as long as Cytoplast Manipulator remains on the battlefield.",0,0,Creature — Human Wizard Mutant
"[""R"",""U""]",,Fiery Islet,"{T}, Pay 1 life: Add {U} or {R}.
{1}, {T}, Sacrifice Fiery Islet: Draw a card.",,,Land
"[""G"",""W""]",{3}{G}{W},Selesnya Sagittars,"Reach (This creature can block creatures with flying.)
Selesnya Sagittars can block an additional creature each combat.",2,5,Creature — Elf Archer
